#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
,North America,"2,258,034","+4,167","135,128",+357,"916,668","+3,299","1,206,238","19,445",,,,
,South America,"1,117,287","+3,537","48,871",+114,"526,023",+163,"542,393","11,778",,,,
,Europe,"2,079,219",+487,"178,594",+11,"1,074,053",+456,"826,572","7,190",,,,
,Asia,"1,334,153","+7,724","34,476",+109,"805,090","+1,949","494,587","14,729",,,,
,Africa,"186,319",+323,"5,086",+4,"83,432",,"97,801",463,,,,
,Oceania,"8,869",+4,124,,"8,288",+13,457,3,,,,
,World,"6,984,602","+16,242","402,294",+595,"3,414,205","+5,880","3,168,103","53,612",896,51.6,,
1,USA,"1,988,545",+1,"112,096 ",,"751,897",+202,"1,124,552","17,021","6,010",339,"20,818,428","62,919"
2,Brazil,"676,494","+2,907","36,044 ",+87,"302,084",,"338,366","8,318","3,184",170,"999,836","4,706"
3,Russia,"458,689",,"5,725 ",,"221,388",,"231,576","2,300","3,143",39,"12,388,968","84,896"
4,Spain,"288,390",,"27,135 ",,N/A,N/A,N/A,617,"6,168",580,"4,063,843","86,920"
5,UK,"284,868",,"40,465 ",,N/A,N/A,N/A,604,"4,198",596,"5,438,712","80,143"
6,India,"247,040",+418,"6,946 ",,"119,293",+598,"120,801","8,944",179,5,"4,666,386","3,384"
7,Italy,"234,801",,"33,846 ",,"165,078",,"35,877",293,"3,883",560,"4,187,057","69,245"
8,Peru,"191,758",,"5,301 ",,"82,731",,"103,726","1,062","5,821",161,"1,173,003","35,611"
9,Germany,"185,696",,"8,769 ",,"168,900",,"8,027",576,"2,217",105,"4,348,880","51,917"
10,Iran,"169,425",,"8,209 ",,"132,038",,"29,178","2,578","2,019",98,"1,040,289","12,396"
11,Turkey,"169,218",,"4,669 ",,"135,322",,"29,227",591,"2,008",55,"2,303,258","27,330"
12,France,"153,634",,"29,142 ",,"70,806",,"53,686","1,059","2,354",447,"1,384,633","21,216"
13,Chile,"127,745",,"1,541 ",,"95,631",,"30,573","1,524","6,686",81,"687,510","35,985"
14,Mexico,"113,619","+3,593","13,511 ",+341,"81,544","+2,954","18,564",378,882,105,"332,326","2,579"
15,Pakistan,"98,943","+4,960","2,002 ",+67,"33,465",+884,"63,476",111,449,9,"683,608","3,099"
16,Saudi Arabia,"98,869",,676 ,,"71,791",,"26,402","1,484","2,843",19,"933,201","26,835"
17,Canada,"95,057",,"7,773 ",,"53,614",,"33,670","1,738","2,520",206,"1,868,277","49,530"
18,Qatar,"67,195",,51 ,,"42,527",,"24,617",238,"23,932",18,"251,391","89,533"
19,Bangladesh,"63,026",,846 ,,"13,325",,"48,855",1,383,5,"384,851","2,338"
20,Belgium,"59,072",,"9,580 ",,"16,190",,"33,302",121,"5,098",827,"923,820","79,733"
21,Belarus,"47,751",,263 ,,"23,015",,"24,473",92,"5,053",28,"609,671","64,519"
22,Netherlands,"47,335",,"6,011 ",,N/A,N/A,N/A,97,"2,763",351,"388,113","22,654"
23,South Africa,"45,973",,952 ,,"24,258",,"20,763",208,776,16,"891,668","15,047"
24,Sweden,"43,887",,"4,656 ",,N/A,N/A,N/A,198,"4,347",461,"275,500","27,290"
25,Ecuador,"42,728",,"3,608 ",,"21,020",,"18,100",252,"2,424",205,"126,683","7,188"
26,UAE,"38,268",,275 ,,"21,061",,"16,932",1,"3,872",28,"2,500,000","252,981"
27,Colombia,"38,027",,"1,205 ",,"14,382",,"22,440",335,748,24,"399,505","7,857"
28,Singapore,"37,910",+383,25 ,,"24,559",,"13,326",4,"6,483",4,"408,495","69,861"
29,Portugal,"34,351",,"1,474 ",,"20,807",,"12,070",58,"3,368",145,"873,998","85,698"
30,Egypt,"32,612",,"1,198 ",,"8,538",,"22,876",41,319,12,"135,000","1,321"
31,Kuwait,"31,131",,254 ,,"19,282",,"11,595",180,"7,297",60,"311,624","73,046"
32,Switzerland,"30,956",,"1,921 ",,"28,700",,335,28,"3,579",222,"419,980","48,550"
33,Indonesia,"30,514",,"1,801 ",,"9,907",,"18,806",,112,7,"394,068","1,442"
34,Ukraine,"26,999",+485,788 ,+11,"12,054",+242,"14,157",304,617,18,"424,046","9,693"
35,Poland,"25,986",,"1,153 ",,"12,855",+214,"11,978",160,687,30,"1,038,281","27,432"
36,Ireland,"25,183",,"1,678 ",,"22,698",,807,36,"5,104",340,"348,416","70,615"
37,Argentina,"22,020",,648 ,,"6,180",,"15,192",274,488,14,"189,278","4,191"
38,Philippines,"21,340",,994 ,,"4,441",,"15,905",82,195,9,"420,114","3,837"
39,Afghanistan,"20,342",+791,357 ,+30,"1,875",+45,"18,110",19,523,9,"47,327","1,218"
40,Romania,"20,290",,"1,322 ",,"14,419",,"4,549",153,"1,054",69,"496,408","25,794"
41,Dominican Republic,"19,195",,536 ,,"11,919",,"6,740",110,"1,771",49,"90,141","8,315"
42,Israel,"17,783",+31,297 ,+2,"15,064",+22,"2,422",29,"1,933",32,"649,463","70,612"
43,Japan,"17,103",,914 ,,"15,079",,"1,110",99,135,7,"311,447","2,462"
44,Austria,"16,898",,672 ,,"15,789",,437,17,"1,877",75,"485,912","53,972"
45,Oman,"16,016",,72 ,,"3,451",,"12,493",67,"3,142",14,"105,772","20,753"
46,Panama,"16,004",,386 ,,"10,118",,"5,500",82,"3,713",90,"72,697","16,867"
47,Bahrain,"14,383",,24 ,,"9,056",,"5,303",15,"8,477",14,"361,376","212,981"
48,Bolivia,"13,358",+630,454 ,+27,"1,902",+163,"11,002",3,"1,145",39,"28,239","2,421"
49,Armenia,"13,130",+766,200 ,+10,"4,014",+294,"8,916",10,"4,431",68,"69,171","23,346"
50,Kazakhstan,"12,694",+183,53 ,,"7,135",,"5,506",62,677,3,"965,089","51,441"
51,Nigeria,"12,233",,342 ,,"3,826",,"8,065",7,59,2,"74,999",365
52,Denmark,"11,924",,587 ,,"10,721",,616,15,"2,059",101,"696,334","120,246"
53,S. Korea,"11,776",+57,273 ,,"10,552",+21,951,15,230,5,"1,012,769","19,755"
54,Serbia,"11,741",,248 ,,"11,056",,437,14,"1,343",28,"269,185","30,801"
55,Iraq,"11,098",,318 ,,"4,904",,"5,876",60,276,8,"294,444","7,333"
56,Algeria,"10,050",,698 ,,"6,631",,"2,721",24,229,16,,
57,Czechia,"9,567",,327 ,,"6,885",,"2,355",12,893,31,"468,375","43,742"
58,Moldova,"9,511",,331 ,,"5,450",,"3,730",306,"2,357",82,"58,521","14,505"
59,Ghana,"9,462",,44 ,,"3,547",,"5,871",3,305,1,"229,093","7,384"
60,Norway,"8,531",,238 ,,"8,138",,155,5,"1,574",44,"257,303","47,487"
61,Malaysia,"8,303",,117 ,,"6,635",,"1,551",5,257,4,"560,738","17,340"
62,Morocco,"8,151",,208 ,,"7,315",,628,15,221,6,"289,457","7,849"
63,Cameroon,"7,599",,212 ,,"4,587",,"2,800",28,287,8,,
64,Australia,"7,259",+4,102 ,,"6,703",+13,454,3,285,4,"1,619,490","63,560"
65,Azerbaijan,"7,239",,84 ,,"4,024",,"3,131",66,714,8,"328,385","32,407"
66,Finland,"6,964",,322 ,,"5,800",,842,7,"1,257",58,"200,500","36,190"
67,Guatemala,"6,792",+307,230 ,+14,"1,133",+80,"5,429",5,380,13,"31,427","1,757"
68,Honduras,"6,155",+184,250 ,+2,697,+20,"5,208",13,622,25,"21,540","2,177"
69,Sudan,"6,081",,359 ,,"2,014",,"3,708",,139,8,401,9
70,Tajikistan,"4,453",,48 ,,"2,583",,"1,822",,468,5,,
71,Senegal,"4,249",,47 ,,"2,512",,"1,690",15,254,3,"49,180","2,943"
72,Uzbekistan,"4,181",+87,17 ,,"3,268",,896,13,125,0.5,"748,555","22,388"
73,Djibouti,"4,169",,26 ,,"1,815",,"2,328",,"4,224",26,"35,165","35,628"
74,Guinea,"4,117",,23 ,,"2,857",,"1,237",24,314,2,"14,407","1,099"
75,Luxembourg,"4,035",,110 ,,"3,888",,37,1,"6,453",176,"84,934","135,839"
76,Hungary,"3,990",,545 ,,"2,279",,"1,166",21,413,56,"206,853","21,409"
77,DRC,"3,878",,82 ,,537,,"3,259",,43,0.9,,
78,Ivory Coast,"3,557",,36 ,,"1,750",,"1,771",,135,1,"30,612","1,163"
79,Nepal,"3,235",,13 ,,365,,"2,857",,111,0.4,"229,912","7,901"
80,Thailand,"3,112",+8,58 ,,"2,972",+1,82,1,45,0.8,"420,529","6,026"
81,Gabon,"3,101",,21 ,,833,,"2,247",13,"1,396",9,"16,730","7,530"
82,Haiti,"3,072",,50 ,,24,,"2,998",,270,4,"6,626",582
83,El Salvador,"3,015",+81,53 ,,"1,305",+24,"1,657",79,465,8,"106,548","16,432"
84,Greece,"2,980",,180  ,,"1,374",,"1,426",9,286,17,"193,929","18,600"
85,North Macedonia,"2,915",,151 ,,"1,640",,"1,124",34,"1,399",72,"35,471","17,026"
86,Bulgaria,"2,711",,160 ,,"1,545",,"1,006",12,390,23,"89,902","12,933"
87,Bosnia and Herzegovina,"2,606",,159 ,,"1,968",,479,4,794,48,"69,654","21,223"
88,Kenya,"2,600",,83 ,,706,,"1,811",7,48,2,"94,507","1,760"
89,Venezuela,"2,316",,22 ,,385,,"1,909",,81,0.8,"1,023,269","35,979"
90,Somalia,"2,289",,82 ,,431,,"1,776",2,144,5,,
91,Croatia,"2,247",,104 ,,"2,121",,22,2,547,25,"68,514","16,683"
92,Cuba,"2,173",,83 ,,"1,855",,235,3,192,7,"116,468","10,282"
93,Mayotte,"2,079",,25 ,,"1,523",,531,12,"7,634",92,"8,150","29,928"
94,Kyrgyzstan,"2,007",+33,22 ,,"1,425",+65,560,5,308,3,"127,051","19,497"
95,Ethiopia,"1,934",,20 ,,281,,"1,633",27,17,0.2,"136,868","1,193"
96,Estonia,"1,931",,69 ,,"1,675",,187,,"1,456",52,"89,000","67,095"
97,Maldives,"1,901",,8 ,,763,,"1,130",9,"3,521",15,"28,940","53,606"
98,Sri Lanka,"1,814",,11 ,,891,,912,1,85,0.5,"75,239","3,515"
99,Iceland,"1,806",,10 ,,"1,794",,2,,"5,295",29,"62,768","184,018"
100,Lithuania,"1,705",,71 ,,"1,321",,313,17,626,26,"331,229","121,579"
101,CAR,"1,570",,5 ,,37,,"1,528",,325,1,"15,881","3,292"
102,Slovakia,"1,528",,28 ,,"1,379",,121,,280,5,"188,235","34,479"
103,Mali,"1,523",,90 ,,845,,588,,75,4,"3,483",172
104,New Zealand,"1,504",,22 ,,"1,481",,1,,301,4,"294,048","58,785"
105,Slovenia,"1,484",,109 ,,"1,359",,16,,714,52,"84,244","40,523"
106,Guinea-Bissau,"1,368",,12 ,,153,,"1,203",,696,6,"1,500",764
107,Lebanon,"1,320",,29 ,,768,,523,4,193,4,"93,907","13,755"
108,South Sudan,"1,317",+323,14 ,+4,6,,"1,297",,118,1,"3,356",300
109,Equatorial Guinea,"1,306",,12 ,,200,,"1,094",,933,9,"8,268","5,909"
110,Costa Rica,"1,263",,10 ,,701,,552,3,248,2,"29,140","5,724"
111,Albania,"1,232",,34 ,,925,,273,5,428,12,"16,063","5,581"
112,Nicaragua,"1,118",,46 ,,370,,702,,169,7,,
113,Hong Kong,"1,106",,4 ,,"1,048",,54,2,148,0.5,"202,930","27,083"
114,Paraguay,"1,090",,11 ,,532,,547,2,153,2,"36,373","5,104"
115,Zambia,"1,089",,7 ,,912,,170,1,59,0.4,"28,236","1,539"
116,Latvia,"1,088",+2,25 ,,781,,282,4,576,13,"117,660","62,340"
117,Tunisia,"1,087",,49 ,,977,,61,1,92,4,"54,653","4,628"
118,Madagascar,"1,026",,8 ,,212,,806,8,37,0.3,"13,230",479
119,Niger,970,,65 ,,867,,38,,40,3,"6,187",256
120,Cyprus,960,,18 ,,807,,135,4,796,15,"125,312","103,840"
121,Mauritania,947,,49 ,,104,,794,7,204,11,"7,654","1,649"
122,Sierra Leone,946,,48 ,,600,,298,,119,6,,
123,Burkina Faso,888,,53 ,,765,,70,,43,3,,
124,Andorra,852,,51 ,,741,,60,7,"11,028",660,"3,750","48,539"
125,Uruguay,845,,23 ,,726,,96,4,243,7,"48,029","13,829"
126,Chad,836,,69 ,,672,,95,,51,4,,
127,Georgia,809,+1,13 ,,674,+11,122,6,203,3,"61,395","15,389"
128,Jordan,795,,9 ,,586,,200,5,78,0.9,"217,905","21,371"
129,Diamond Princess,712,,13 ,,651,,48,4,,,,
130,Congo,683,,22 ,,210,,451,,124,4,,
131,San Marino,680,,42 ,,428,,210,1,"20,044","1,238","4,749","139,981"
132,French Guiana,639,,1 ,,348,,290,1,"2,144",3,,
133,Malta,627,,9 ,,596,,22,,"1,420",20,"74,469","168,685"
134,Jamaica,596,+1,10 ,,404,+19,182,2,201,3,"14,223","4,805"
135,Uganda,593,, ,,82,,511,,13,,"100,402","2,201"
136,Channel Islands,563,,46 ,,512,,5,,"3,240",265,"10,255","59,020"
137,Cabo Verde,542,,5 ,,240,,297,,976,9,"1,307","2,353"
138,Tanzania,509,,21 ,,183,,305,7,9,0.4,,
139,Sao Tome and Principe,499,,12 ,,68,,419,,"2,280",55,175,800
140,Togo,487,,13 ,,240,,234,,59,2,"21,812","2,639"
141,Yemen,482,,111 ,,23,,348,,16,4,120,4
142,Réunion,480,,1 ,,411,,68,4,536,1,"17,200","19,220"
143,Palestine,464,,3 ,,400,,61,,91,0.6,"44,876","8,812"
144,Taiwan,443,,7 ,,430,+1,6,,19,0.3,"73,359","3,080"
145,Rwanda,431,,2 ,,283,,146,,33,0.2,"75,013","5,802"
146,Malawi,409,,4 ,,55,,350,3,21,0.2,"6,260",328
147,Mozambique,409,,2 ,,126,,281,,13,0.06,"12,343",396
148,Liberia,345,,30 ,,185,,130,,68,6,,
149,Mauritius,337,,10 ,,324,,3,,265,8,"131,516","103,423"
150,Isle of Man,336,,24 ,,312,,0,,"3,953",282,"5,123","60,268"
151,Vietnam,329,, ,,307,,22,1,3,,"275,000","2,827"
152,Montenegro,324,,9 ,,315,,0,,516,14,"13,186","20,995"
153,Eswatini,322,,3 ,,224,,95,5,278,3,"6,551","5,651"
154,Zimbabwe,279,,4 ,,33,,242,,19,0.3,"52,218","3,517"
155,Benin,261,,3 ,,151,,107,,22,0.2,"40,900","3,380"
156,Libya,256,,5 ,,52,,199,,37,0.7,"8,840","1,288"
157,Myanmar,240,,6 ,,156,,78,,4,0.1,"35,432",651
158,Martinique,202,,14 ,,98,,90,,538,37,,
159,Mongolia,193,, ,,75,+4,118,14,59,,"16,279","4,971"
160,Faeroe Islands,187,, ,,187,,0,,"3,828",,"10,257","209,965"
161,Gibraltar,175,, ,,155,,20,,"5,194",,"8,908","264,395"
162,Guadeloupe,164,,14 ,,144,,6,1,410,35,"4,975","12,434"
163,Cayman Islands,164,,1 ,,93,,70,,"2,497",15,"13,947","212,383"
164,Guyana,154,,12 ,,80,,62,3,196,15,"1,797","2,285"
165,Bermuda,141,,9 ,,114,,18,2,"2,264",144,"7,891","126,678"
166,Brunei ,141,,2 ,,138,,1,1,323,5,"20,619","47,162"
167,Comoros,141,,2 ,,67,,72,,162,2,,
168,Syria,125,,6 ,,58,,61,,7,0.3,,
169,Cambodia,125,, ,,123,,2,1,7,,"23,156","1,386"
170,Trinidad and Tobago,117,,8 ,,108,,1,,84,6,"3,387","2,421"
171,Bahamas,103,,11 ,,62,,30,2,262,28,"2,194","5,583"
172,Aruba,101,,3 ,,98,,0,,946,28,"2,174","20,368"
173,Suriname,100,,1 ,,9,,90,,171,2,"1,165","1,987"
174,Monaco,99,,4 ,,93,,2,1,"2,524",102,"16,200","413,012"
175,Barbados,92,,7 ,,81,,4,1,320,24,"5,870","20,428"
176,Angola,88,,4 ,,24,,60,1,3,0.1,"10,000",305
177,Burundi,83,,1 ,,45,,37,,7,0.08,382,32
178,Liechtenstein,82,,1 ,,55,,26,,"2,151",26,900,"23,609"
179,Sint Maarten,77,,15 ,,61,,1,1,"1,797",350,470,"10,970"
180,French Polynesia,60,, ,,60,,0,,214,,"4,262","15,178"
181,Bhutan,48,, ,,11,,37,,62,,"19,348","25,094"
182,Macao,45,, ,,45,,0,,69,,,
183,Saint Martin,41,,3 ,,33,,5,1,"1,062",78,614,"15,899"
184,Botswana,40,,1 ,,23,,16,,17,0.4,"24,006","10,223"
185,Eritrea,39,, ,,39,,0,,11,,,
186,Namibia,29,, ,,16,,13,,11,,"4,588","1,808"
187,Antigua and Barbuda,26,,3 ,,20,,3,1,266,31,246,"2,513"
188,Gambia,26,,1 ,,21,,4,,11,0.4,"1,907",791
189,St. Vincent Grenadines,26,, ,,15,,11,,234,,600,"5,409"
190,Timor-Leste,24,, ,,24,,0,,18,,"1,568","1,191"
191,Grenada,23,, ,,22,,1,2,204,,"3,516","31,256"
192,Curaçao,21,,1 ,,15,,5,,128,6,985,"6,004"
193,New Caledonia,20,, ,,18,,2,,70,,"7,055","24,727"
194,Belize,19,,2 ,,16,,1,,48,5,"1,741","4,384"
195,Laos,19,, ,,18,,1,,3,,"7,824","1,076"
196,Saint Lucia,19,, ,,18,,1,,104,,"1,204","6,559"
197,Dominica,18,, ,,16,,2,,250,,534,"7,419"
198,Fiji,18,, ,,18,,0,,20,,"2,431","2,713"
199,Saint Kitts and Nevis,15,, ,,15,,0,,282,,408,"7,673"
200,Falkland Islands,13,, ,,13,,0,,"3,744",,535,"154,090"
201,Greenland,13,, ,,13,,0,,229,,"2,288","40,307"
202,Turks and Caicos,12,,1 ,,11,,0,,310,26,192,"4,964"
203,Vatican City,12,, ,,12,,0,,"14,981",,,
204,Montserrat,11,,1 ,,10,,0,,"2,204",200,61,"12,220"
205,Seychelles,11,, ,,11,,0,,112,,,
206,MS Zaandam,9,,2 ,,,,7,,,,,
207,Western Sahara,9,,1 ,,6,,2,,15,2,,
208,British Virgin Islands,8,,1 ,,7,,0,,265,33,167,"5,527"
209,Papua New Guinea,8,, ,,8,,0,,0.9,,"4,646",520
210,Caribbean Netherlands,7,, ,,7,,0,,267,,424,"16,179"
211,St. Barth,6,, ,,6,,0,,608,,137,"13,873"
212,Lesotho,4,, ,,2,,2,,2,,"1,515",708
213,Anguilla,3,, ,,3,,0,,200,,41,"2,734"
214,Saint Pierre Miquelon,1,, ,,1,,0,,173,,,
215,China,"83,036",+6,"4,634 ",,"78,332",+3,70,1,58,3,,
